simplified,radical,level,frequency,pos,pinyin,meanings,count
欢聚,欠,7,31178,v,huān jù,"to get together socially,to celebrate,party,celebration",1
欢快,欠,7,12547,a,huān kuài,"cheerful and lighthearted,lively",1
欢乐,欠,6,3660,a,huān lè,"gaiety,gladness,glee,merriment,pleasure,happy,joyous,gay",1
欢声笑语,欠,7,28045,l,huān shēng xiào yǔ,cheers and laughter,1
欢迎,欠,3,796,v,huān yíng,"to welcome,welcome",1
荒,艹,7,14965,g,huāng,"desolate,shortage,scarce,out of practice,absurd,uncultivated,to neglect",1
荒诞,艹,7,20491,a,huāng dàn,"beyond belief,incredible,preposterous,fantastic",1
荒凉,艹,7,19554,a,huāng liáng,desolate,1
荒谬,艹,7,10598,a,huāng miù,"absurd,ridiculous",1
荒唐,艹,7,8672,a,huāng táng,"beyond belief,preposterous,absurd,intemperate,dissipated",1
慌,忄,7,6401,a,huāng,"to get panicky,to lose one's head,(coll.) (after 得) unbearably,terribly",1
慌乱,忄,7,15359,a,huāng luàn,"frenetic,hurried",1
慌忙,忄,7,29421,ad,huāng máng,"in a great rush,in a flurry",1
慌张,忄,7,15404,a,huāng zhāng,"flustered,agitated",1
皇帝,白,6,5233,n,huáng dì,emperor,1
皇宫,白,7,12458,n,huáng gōng,imperial palace,1
皇后,白,7,5870,n,huáng hòu,"empress,imperial consort",1
皇上,白,7,10429,n,huáng shang,"the emperor,Your majesty the emperor,His imperial majesty",1
皇室,白,7,11898,n,huáng shì,"royal family,imperial household,member of the royal family",1
黄,黄,6,1809,nr,Huáng,surname Huang or Hwang,2
黄瓜,黄,5,10535,n,huáng guā,cucumber,1
黄昏,黄,7,12318,t,huáng hūn,"dusk,evening,nightfall",1
黄金,黄,5,2676,n,huáng jīn,"gold,golden (opportunity),prime (time)",1
黄色,黄,3,4243,n,huáng sè,"yellow (color),pornographic",1
恍然大悟,忄,7,24790,v,huǎng rán dà wù,"to suddenly realize,to suddenly see the light",1
谎话,讠,7,15885,n,huǎng huà,lie,1
谎言,讠,7,5015,n,huǎng yán,lie,1
晃,日,7,5102,v,huǎng,variant of 晃,3
晃荡,日,7,27257,v,huàng dang,"to rock,to sway,to shake",1
灰,火,5,2914,g,huī,"ash,dust,lime,gray,discouraged; dejected",1
灰尘,火,6,10301,n,huī chén,dust,1
灰色,火,5,6466,n,huī sè,"gray,ash gray,grizzly,pessimistic,gloomy,dispirited,ambiguous",1
灰心,火,6,20767,a,huī xīn,"to lose heart,to be discouraged",1
恢复,忄,5,1219,v,huī fù,"to reinstate,to resume,to restore,to recover,to regain,to rehabilitate",1
挥,扌,5,3969,v,huī,"to wave,to brandish,to command,to conduct,to scatter,to disperse",1
挥霍,扌,7,12889,v,huī huò,"to squander money,extravagant,prodigal,free and easy,agile",1
辉煌,⺌,7,6514,a,huī huáng,"splendid,glorious",1
回,囗,1,225,v,huí,"to circle,to go back,to turn around,to answer,to return,to revolve,Hui ethnic group (Chinese Muslims),time",3
回报,囗,6,3116,v,huí bào,"(in) return,reciprocation,payback,retaliation,to report back,to reciprocate",1
回避,囗,7,6113,v,huí bì,variant of 回避,2
